Country Code,ISO3,Country Name eng,Country Name fr,Unnamed: 4,Region,Income_Group
121.0,LBN,Lebanon,Liban,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
123.0,LBR,Liberia,Libéria,,Afrique subsaharienne (hors revenu élevé),Faible revenu
124.0,LBY,Libya,Libye,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
189.0,LCA,Saint Lucia,Sainte-Lucie,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,LCN,,Amérique latine et Caraïbes,,,Agrégats
,LDC,,Pays les moins avancés: classement de l’ONU,,,Agrégats
,LIC,,Faible revenu,,,Agrégats
125.0,LIE,Liechtenstein,Liechtenstein,,,Revenu élevé
38.0,LKA,Sri Lanka,Sri Lanka,,Asie du Sud,"Revenu intermédiaire, tranche inférieure"
,LMC,,"Revenu intermédiaire, tranche inférieure",,,Agrégats
,LMY,,Revenu faible et intermédiaire,,,Agrégats
122.0,LSO,Lesotho,Lesotho,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,LTE,,de dividende tardif démographique,,,Agrégats
126.0,LTU,Lithuania,Lituanie,,,Revenu élevé
256.0,LUX,Luxembourg,Luxembourg,,,Revenu élevé
119.0,LVA,Latvia,Lettonie,,,Revenu élevé
128.0,MAC,"China, Macao SAR","Région administrative spéciale de Macao, Chine",,,Revenu élevé
281.0,MAF,Saint-Martin (French part),Saint-Martin (fr),,,Revenu élevé
143.0,MAR,Morocco,Maroc,,Afrique du Nord et Moyen-Orient (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
140.0,MCO,Monaco,Monaco,,,Revenu élevé
146.0,MDA,Republic of Moldova,Moldova,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
129.0,MDG,Madagascar,Madagascar,,Afrique subsaharienne (hors revenu élevé),Faible revenu
132.0,MDV,Maldives,Maldives,,Asie du Sud,"Revenu intermédiaire, tranche supérieure"
,MEA,,Afrique du Nord et Moyen-Orient,,,Agrégats
138.0,MEX,Mexico,Mexique,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
127.0,MHL,Marshall Islands,Îles Marshall,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,MIC,,Revenu intermédiaire,,,Agrégats
154.0,MKD,North Macedonia,Macédoine du Nord,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
133.0,MLI,Mali,Mali,,Afrique subsaharienne (hors revenu élevé),Faible revenu
134.0,MLT,Malta,Malte,,,Revenu élevé
28.0,MMR,Myanmar,Myanmar,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
,MNA,,Afrique du Nord et Moyen-Orient (hors revenu élevé),,,Agrégats
273.0,MNE,Montenegro,Monténégro,,Europe et Asie centrale (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
141.0,MNG,Mongolia,Mongolie,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
163.0,MNP,Northern Mariana Islands,Mariannes,,,Revenu élevé
144.0,MOZ,Mozambique,Mozambique,,Afrique subsaharienne (hors revenu élevé),Faible revenu
136.0,MRT,Mauritania,Mauritanie,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
137.0,MUS,Mauritius,Maurice,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
130.0,MWI,Malawi,Malawi,,Afrique subsaharienne (hors revenu élevé),Faible revenu
131.0,MYS,Malaysia,Malaisie,,Asie de l’Est et Pacifique (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
,NAC,,Amérique du Nord,,,Agrégats
147.0,NAM,Namibia,Namibie,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche supérieure"
153.0,NCL,New Caledonia,Nouvelle-Calédonie,,,Revenu élevé
158.0,NER,Niger,Niger,,Afrique subsaharienne (hors revenu élevé),Faible revenu
159.0,NGA,Nigeria,Nigéria,,Afrique subsaharienne (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
157.0,NIC,Nicaragua,Nicaragua,,Amérique latine et Caraïbes (hors revenu élevé),"Revenu intermédiaire, tranche inférieure"
150.0,NLD,Netherlands,Pays-Bas,,,Revenu élevé
162.0,NOR,Norway,Norvège,,,Revenu élevé
149.0,NPL,Nepal,Népal,,Asie du Sud,"Revenu intermédiaire, tranche inférieure"
148.0,NRU,Nauru,Nauru,,,Revenu élevé
156.0,NZL,New Zealand,Nouvelle-Zélande,,,Revenu élevé
,OED,,Pays membres de l'OCDE,,,Agrégats
221.0,OMN,Oman,Oman,,,Revenu élevé
,OSS,,Autres petits états,,,Agrégats
